level0;id;SCaCodigo;SCaTipo;SCaNombre;SHAPE_Leng;SHAPE_Area;areakm;count_hurtos;count_accidentes;count_alojamiento;count_sitp;count_restaurantes;count_parques;count_sitios;hurtos;accidentes;alojamiento;sitp;restaurantes;parques;sitios;c1_index;cluster;
91;007104;7104;0;TEUSAQUILLO;0.02572174663;2.90E-05;0.3610974585;853;265;14;15;0;0;38;2.362.243.156;7.338.738.996;3.877.069.658;4.154.003.205;0;0;1.052.347.479;3.308.135.154;1;007104
92;001355;1355;0;LAS GUACAMAYAS I;0.02041825884;1.88E-05;0.2342690537;143;49;0;7;0;1;16;6.104.092.612;2.091.612.154;0;2.988.017.362;0;4.268.596.232;6.829.753.971;121.805.668;4;001355
93;004594;4594;0;SAN ANTONIO;0.02100554236;1.79E-05;0.2228327945;137;45;0;4;0;0;6;6.148.107.613;2.019.451.406;0;1.795.067.916;0;0;2.692.601.874;6.747.062.809;0;004594
94;002561;2561;0;CORDILLERA DEL SUR;0.01422152736;1.23E-05;0.1529000647;21;35;0;1;0;0;5;1.373.446.116;228.907.686;0;6.540.219.599;0;0;32.701.098;4.481.266.681;3;002561
95;109105;109105;1;SANTO DOMINGO;0.1399247346;0.000837703034;1.040.628.539;0;0;0;0;0;0;1;0;0;0;0;0;0;0.09609576929;0.006043157341;3;109105
96;002501;2501;0;SAN CARLOS;0.02701063874;4.18E-05;0.5194466793;405;233;0;16;0;0;14;7.796.757.899;4.485.542.199;0;3.080.200.651;0;0;269.517.557;9.934.806.867;0;002501
97;009211;9211;0;EL POA;0.03028576343;4.22E-05;0.5248057843;960;321;0;6;0;0;19;1.829.248.131;6.116.548.438;0;1.143.280.082;0;0;3.620.386.926;1.368.353.144;1;009211
98;009249;9249;0;VEREDA SUBA NARANJOS;0.06351291045;8.72E-05;1.084.356.687;69;13;0;0;0;0;15;6.363.219.854;1.198.867.509;0;0;0;0;1.383.308.664;1.177.490.083;3;009249
99;004207;4207;0;GORGONZOLA;0.02589743583;3.04E-05;0.3781572642;265;182;0;9;0;0;5;7.007.666.521;4.812.812.479;0;2.379.962.215;0;0;132.220.123;8.351.855.747;0;004207
100;004570;4570;0;ANTONIA SANTOS;0.02017506106;1.36E-05;0.1692800713;110;53;0;1;0;0;6;6.498.106.905;3.130.906.054;0;5.907.369.914;0;0;3.544.421.948;7.002.919.093;3;004570
101;009227;9227;0;LECH WALESA;0.02139091698;1.87E-05;0.2330325897;134;87;0;4;0;0;6;5.750.268.671;3.733.383.391;0;1.716.498.111;0;0;2.574.747.166;7.456.111.307;0;009227
102;009261;9261;0;TUNA;0.0111408052;3.52E-06;0.04371638173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;009261
103;004109;4109;0;VERAGUAS;0.02126501562;1.87E-05;0.2327413977;430;228;0;6;0;0;6;1.847.544.117;9.796.280.434;0;2.577.968.535;0;0;2.577.968.535;1.650.716.106;1;004109
104;005604;5604;0;EL REAL;0.01941729403;2.06E-05;0.2556624722;172;97;0;3;0;0;6;6.727.620.153;3.794.064.854;0;117.342.212;0;0;2.346.844.239;7.235.341.063;0;005604
105;002640;2640;0;EL PEDREGAL II;0.03024530202;4.27E-05;0.5308165044;4;3;0;0;0;0;0;7.535.560.721;565.167.054;0;0;0;0;0;0.06113519328;3;002640
106;008309;8309;0;LA CABRERA;0.02672878061;3.52E-05;0.4380314205;979;249;9;9;12;0;40;2.234.999.487;5.684.523.721;2.054.647.128;2.054.647.128;2.739.529.504;0;9.131.765.013;3.030.595.667;1;008309
107;001432;1432;0;DIANA TURBAY CULTIVOS;0.01744014579;7.28E-06;0.0904670823;41;14;0;1;0;0;1;4.532.035.184;1.547.524.209;0;1.105.374.435;0;0;1.105.374.435;4.263.229.811;3;001432
108;105103;105103;1;SAN PEDRO;0.02049368137;1.79E-05;0.2221318482;9;0;0;0;0;0;3;4.051.647.736;0;0;0;0;0;1.350.549.245;1.000.582.587;3;105103
109;006406;6406;0;VILLEMAR;0.0280716967;3.41E-05;0.4239789623;253;256;6;6;0;0;18;5.967.277.211;6.038.035.439;1.415.164.556;1.415.164.556;0;0;4.245.493.668;1.321.067.322;0;006406
110;001115;1115;0;MONTE CARLO;0.01334063129;5.84E-06;0.0725858247;8;7;0;3;0;0;1;110.214.357;9.643.756.241;0;4.133.038.389;0;0;1.377.679.463;5.477.011.832;5;001115
111;002534;2534;0;CASA DE TEJA;0.01971835166;2.12E-05;0.2636365441;49;32;0;3;0;0;5;1.858.619.417;1.213.792.272;0;1.137.930.255;0;0;1.896.550.426;359.644.128;3;002534
112;007307;7307;0;MUEQUETA;0.01288066754;8.89E-06;0.1105015747;141;99;6;3;0;0;9;1.275.999.916;8.959.148.344;5.429.786.875;2.714.893.438;0;0;8.144.680.313;3.109.665.724;1;007307
113;202506;202506;2;EL NUEVO PORTAL II RURAL;0.007144774616;2.23E-06;0.02766132024;1;0;0;0;0;0;0;361.515.644;0;0;0;0;0;0;0.1349690515;3;202506
114;201404;201404;2;LA PEÑA RURAL;0.00519107122;1.40E-06;0.01735846552;2;0;0;0;0;0;6;1.152.175.576;0;0;0;0;0;3.456.526.727;2.216.715.318;3;201404
115;002540;2540;0;ESTRELLA DEL SUR;0.02790841992;2.58E-05;0.3202299698;118;59;0;11;0;0;9;368.485.186;184.242.593;0;3.435.031.395;0;0;2.810.480.233;7.240.938.349;0;002540
116;009216;9216;0;LA GAITANA;0.02803506818;2.00E-05;0.2482789152;268;67;0;12;0;0;8;107.943.117;2.698.577.926;0;4.833.273.898;0;0;3.222.182.598;1.188.413.862;5;009216
117;107101;107101;1;GUAYMARAL;0.1694029529;0.0006722520813;8.360.125.776;11;2;0;0;0;0;8;1.315.769.678;0.2392308505;0;0;0;0;0.9569234021;0.06648713255;3;107101
118;004502;4502;0;HIPOTECHO OCCIDENTAL;0.03563617423;6.96E-05;0.8655248467;1030;275;0;19;15;1;14;1.190.029.384;3.177.262.918;0;2.195.199.834;1.733.052.501;1.155.368.334;1.617.515.667;1.348.563.586;0;004502
119;006516;6516;0;TINTALA;0.0492583252;0.000134382006;1.670.761.497;1020;428;0;46;0;1;31;6.105.000.634;2.561.706.148;0;275.323.558;0;0.5985294739;1.855.441.369;7.610.391.961;0;006516
120;006529;6529;0;EL VERGEL ORIENTAL;0.02082750745;2.20E-05;0.2741248801;113;150;0;1;0;0;1;4.122.208.825;5.471.958.617;0;3.647.972.411;0;0;3.647.972.411;5.284.570.645;3;006529
121;104107;104107;1;BELLA FLOR SUR RURAL;0.0183446521;9.40E-06;0.1168522543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;104107
122;005627;5627;0;GARCES NAVAS;0.02302556768;2.57E-05;0.3197259953;252;134;0;8;0;0;15;7.881.748.863;4.191.088.681;0;2.502.142.496;0;0;469.151.718;1.054.148.822;0;005627
123;004542;4542;0;ALQUERIA LA FRAGUA NORTE;0.02301029421;2.32E-05;0.2879411675;268;178;0;14;0;0;9;9.307.456.878;6.181.818.375;0;486.210.434;0;0;3.125.638.504;1.332.764.932;5;004542
124;108112;108112;1;PARAMO II RURAL;0.01409850465;9.96E-06;0.1237892232;3;0;0;0;0;0;0;2.423.474.291;0;0;0;0;0;0;0.09047852613;3;108112
125;006212;6212;0;SALAZAR GOMEZ;0.03975406468;7.17E-05;0.8917335329;870;1389;1;24;1;0;15;975.627.772;1.557.640.202;1.121.411.232;2.691.386.957;1.121.411.232;0;1.682.116.848;1.668.774.334;0;006212
